IP,Dự Án,Line,Station ID,Tên Trạm
192.168.50.216,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-UDFPS_BJ26A-01,FATP-UDFPS
192.168.1.20,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CELL_BJ26A-03,SMT-RF-CELL
10.239.18.44,4CS4,FVN-N1F-G01,4CS4_FVN-N1F-G01_FATP-CAM-MU-COMBO-4_IN26A-01,FATP-CAM-MU-COMBO-4
10.239.202.67,4CS4,None,4CS4_FVN-E2F3-G01CQDM01,None
10.239.202.180,4CS4,None,4CS4_E2-3F-FAE01AIRLK-FA-PT-L01,None
10.239.220.71,4CS4,FVN-E1F1-E01,4CS4_FVN-E1F1-E01_PACK-PROD-INT-FRESET-02,PACK-PROD-INT-FRESET-
10.239.220.27,4CS4,FVN-E1F1-E01,4CS4_FVN-E1F1-E01_PACK-PROD-INT-FRESET-01,PACK-PROD-INT-FRESET-
10.239.50.248,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-BFT-MLB_WT26A-03,SMT-BFT-MLB
10.239.226.81,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-DS-COMBO_IN26A-01,FATP-DS-COMBO
10.239.203.60,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-DS-COMBO_IN26A-04,FATP-DS-COMBO
10.239.245.23,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_SA-AOI-BWRAP_IN26A-01,SA-AOI-BWRAP
10.239.226.84,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-DS-COMBO_IN26A-04,FATP-DS-COMBO
10.239.51.9,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-RF-CELL_BJ26A-01,SMT-RF-CELL
10.239.50.89,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-BFT-SOC_WT26A-01,SMT-BFT-SOC
10.239.202.157,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-DS-COMBO_IN26A-05,FATP-DS-COMBO
10.239.50.91,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-BFT-MLB_WT26A-02,SMT-BFT-MLB
10.239.203.234,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-DS-COMBO_IN26A-05,FATP-DS-COMBO
10.239.203.49,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-DS-COMBO_IN26A-03,FATP-DS-COMBO
10.239.50.83,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-08,SMT-RF-CAL-CELL
10.239.202.44,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-DS-COMBO_IN26A-01,FATP-DS-COMBO
10.239.202.11,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-DS-COMBO_IN26A-03,FATP-DS-COMBO
10.239.51.1,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-12,SMT-RF-CAL-CELL
10.239.51.4,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-10,SMT-RF-CAL-CELL
10.239.226.97,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-QT-1M_SF26A-02,FATP-QT-1M
10.239.220.22,4CS4,FVN-E2F5-Z01,4CS4_FVN-E2F5-Z01_FATP-ZOMBIE-OTA-01,FATP-ZOMBIE-OTA-
10.239.202.20,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-DS-COMBO_IN26A-02,FATP-DS-COMBO
10.239.51.138,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-RF-EFS_BJ26A-02,SMT-RF-EFS
10.239.231.90,4CS4,FVN-E2F5-Z01,4CS4_FVN-E2F5-Z01_FATP-ZOMBIE-OTA-01,FATP-ZOMBIE-OTA-
10.239.51.76,4CS4,FVN-N1F-SHT01,4CS4_FVN-N1F-SHT01_SMT-PROV_JA25A-02,SMT-PROV
10.239.205.46,4CS4,FVN-E2F3-Z01,4CS4_FVN-E2F3-Z01_PACK-OTA-01,PACK-OTA-
10.239.50.66,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-13,SMT-RF-CAL-CELL
10.239.203.50,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-DS-COMBO_IN26A-04,FATP-DS-COMBO
10.239.51.106,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-16,SMT-RF-CAL-CELL
10.239.51.65,4CS4,FVN-N1F-SHT01,4CS4_FVN-N1F-SHT01_SMT-PROV_JA25A-01,SMT-PROV
10.239.224.25,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-QT-1M_SF26A-01,FATP-QT-1M
10.239.51.138,4CS4,FVN-N1F-SHT01,4CS4_FVN-N1F-SHT01_SMT-RDL_JA25A-03,SMT-RDL
10.239.226.82,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-DS-COMBO_IN26A-02,FATP-DS-COMBO
10.239.203.54,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-DS-COMBO_IN26A-02,FATP-DS-COMBO
10.239.58.197,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-FLASH_WT26A-02,SMT-FLASH
10.239.226.92,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-IMU-6DOF_IN26A-01,FATP-IMU-6DOF
10.239.58.73,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-RF-CELL_BJ26A-07,SMT-RF-CELL
